0111-3/01;Cultivo de arroz
0111-3/02;Cultivo de milho
0111-3/03;Cultivo de trigo
0111-3/99;Cultivo de outros cereais não especificados anteriormente
0112-1/01;Cultivo de algodão herbáceo
0112-1/02;Cultivo de juta
0112-1/99;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
0113-0/00;Cultivo de cana-de-açúcar
0114-8/00;Cultivo de fumo
0115-6/00;Cultivo de soja
0116-4/01;Cultivo de amendoim
0116-4/02;Cultivo de girassol
0116-4/03;Cultivo de mamona
0116-4/99;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
0119-9/01;Cultivo de abacaxi
0119-9/02;Cultivo de alho
0119-9/03;Cultivo de batata-inglesa
0119-9/04;Cultivo de cebola
0119-9/05;Cultivo de feijão
0119-9/06;Cultivo de mandioca
0119-9/07;Cultivo de melão
0119-9/08;Cultivo de melancia
0119-9/09;Cultivo de tomate rasteiro
0119-9/99;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
0121-1/01;Horticultura, exceto morango
0121-1/02;Cultivo de morango
0122-9/00;Floricultura
0131-8/00;Cultivo de laranja
0132-6/00;Cultivo de uva
0133-4/01;Cultivo de açaí
0133-4/02;Cultivo de banana
0133-4/03;Cultivo de caju
0133-4/04;Cultivo de cítricos, exceto laranja
0133-4/05;Cultivo de coco-da-baía
0133-4/06;Cultivo de guaraná
0133-4/07;Cultivo de maçã
0133-4/08;Cultivo de mamão
0133-4/09;Cultivo de maracujá
0133-4/10;Cultivo de manga
0133-4/11;Cultivo de pêssego
0133-4/99;Cultivo de frutas de lavoura permanente não especificadas anteriormente
0134-2/00;Cultivo de café
0135-1/00;Cultivo de cacau
0139-3/01;Cultivo de chá-da-índia
0139-3/02;Cultivo de erva-mate
0139-3/03;Cultivo de pimenta-do-reino
0139-3/04;Cultivo de plantas para condimento, exceto pimenta-do-reino
0139-3/05;Cultivo de dendê
0139-3/06;Cultivo de seringueira
0139-3/99;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
0141-5/01;Produção de sementes certificadas, exceto de forrageiras para pasto
0141-5/02;Produção de sementes certificadas de forrageiras para formação de pasto
0142-3/00;Produção de mudas e outras formas de propagação vegetal, certificadas
0151-2/01;Criação de bovinos para corte
0151-2/02;Criação de bovinos para leite
0151-2/03;Criação de bovinos, exceto para corte e leite
0152-1/01;Criação de bufalinos
0152-1/02;Criação de eqüinos
0152-1/03;Criação de asininos e muares
0153-9/01;Criação de caprinos
0153-9/02;Criação de ovinos, inclusive para produção de lã
0154-7/00;Criação de suínos
0155-5/01;Criação de frangos para corte
0155-5/02;Produção de pintos de um dia
0155-5/03;Criação de outros galináceos, exceto para corte
0155-5/04;Criação de aves, exceto galináceos
0155-5/05;Produção de ovos
0159-8/01;Apicultura
0159-8/02;Criação de animais de estimação
0159-8/03;Criação de escargô
0159-8/04;Criação de bicho-da-seda
0159-8/99;Criação de outros animais não especificados anteriormente
0161-0/01;Serviço de pulverização e controle de pragas agrícolas
0161-0/02;Serviço de poda de árvores para lavouras
0161-0/03;Serviço de preparação de terreno, cultivo e colheita
0161-0/99;Atividades de apoio à agricultura não especificadas anteriormente
0162-8/01;Serviço de inseminação artificial de animais *
0162-8/02;Serviço de tosquiamento de ovinos
0162-8/03;Serviço de manejo de animais
0162-8/99;Atividades de apoio à pecuária não especificadas anteriormente
0163-6/00;Atividades de pós-colheita
0170-9/00;Caça e serviços relacionados
0210-1/01;Cultivo de eucalipto
0210-1/02;Cultivo de acácia-negra
0210-1/03;Cultivo de pinus
0210-1/04;Cultivo de teca
0210-1/05;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca
0210-1/06;Cultivo de mudas em viveiros florestais
0210-1/07;Extração de madeira em florestas plantadas
0210-1/08;Produção de carvão vegetal - florestas plantadas
0210-1/09;Produção de casca de acácia-negra - florestas plantadas
0210-1/99;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
0220-9/01;Extração de madeira em florestas nativas
220-9/02;Produção de carvão vegetal - florestas nativas
0220-9/03;Coleta de castanha-do-pará em florestas nativas
0220-9/04;Coleta de látex em florestas nativas
0220-9/05;Coleta de palmito em florestas nativas
0220-9/06;Conservação de florestas nativas
0220-9/99;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
0230-6/00;Atividades de apoio à produção florestal
0311-6/01;Pesca de peixes em água salgada
0311-6/02;Pesca de crustáceos e moluscos em água salgada
0311-6/03;Coleta de outros produtos marinhos
0311-6/04;Atividades de apoio à pesca em água salgada
0312-4/01;Pesca de peixes em água doce
0312-4/02;Pesca de crustáceos e moluscos em água doce
0312-4/03;Coleta de outros produtos aquáticos de água doce
0312-4/04;Atividades de apoio à pesca em água doce
0321-3/01;Criação de peixes em água salgada e salobra
